,Variable Name,Variable Description,Subcohort,Dataset,Dataset Description,Data Type,Mapped Instrument,Number Participants,Field Attributes
1027,asq27_persoc_count,asq27_persoc_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,12,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.0)}"
1028,asq27_persoc_score,asq27_persoc_score from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),continuous,Asq,10,"{'min': np.float64(15.0), 'max': np.float64(55.0), 'mean': np.float64(46.0)}"
1029,asq27_persoc_score,asq27_persoc_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(25.0), 'max': np.float64(60.0), 'mean': np.float64(47.5)}"
1030,asq27_persoc_sum,asq27_persoc_sum from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),continuous,Asq,10,"{'min': np.float64(15.0), 'max': np.float64(55.0), 'mean': np.float64(46.0)}"
1031,asq27_persoc_sum,asq27_persoc_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(25.0), 'max': np.float64(60.0), 'mean': np.float64(47.5)}"
1032,asq27_ps1,asq27_ps1 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,10,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 7}"
1033,asq27_ps1,asq27_ps1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 8}"
1034,asq27_ps2,asq27_ps2 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,9,{'Yes': 9}
1035,asq27_ps2,asq27_ps2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 1, 'Yes': 9}"
1036,asq27_ps3,asq27_ps3 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,10,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 8}"
1037,asq27_ps3,asq27_ps3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 2, 'Yes': 8}"
1038,asq27_ps4,asq27_ps4 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,10,"{'Sometimes': 2, 'Yes': 8}"
1039,asq27_ps4,asq27_ps4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 2, 'Sometimes': 2, 'Yes': 6}"
1040,asq27_ps5,asq27_ps5 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,10,"{'Not yet': 2, 'Sometimes': 3, 'Yes': 5}"
1041,asq27_ps5,asq27_ps5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 3, 'Yes': 7}"
1042,asq27_ps6,asq27_ps6 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,10,"{'Not yet': 5, 'Sometimes': 2, 'Yes': 3}"
1043,asq27_ps6,asq27_ps6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 3, 'Sometimes': 1, 'Yes': 6}"
1044,asq27_ps_concern,asq27_ps_concern from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),continuous,Asq,10,"{'min': np.float64(0.0), 'max': np.float64(1.0), 'mean': np.float64(0.1)}"
1045,asq27_ps_concern,asq27_ps_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(0.0), 'max': np.float64(1.0), 'mean': np.float64(0.1)}"
1046,asq27_ps_count,asq27_ps_count from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),continuous,Asq,10,"{'min': np.float64(5.0), 'max': np.float64(6.0), 'mean': np.float64(5.9)}"
1047,asq27_ps_count,asq27_ps_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,12,"{'min': np.float64(0.0), 'max': np.float64(6.0), 'mean': np.float64(5.0)}"
1048,asq27_ps_score,asq27_ps_score from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),continuous,Asq,10,"{'min': np.float64(12.0), 'max': np.float64(60.0), 'mean': np.float64(45.2)}"
1049,asq27_ps_score,asq27_ps_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(25.0), 'max': np.float64(60.0), 'mean': np.float64(48.0)}"
1050,asq27_ps_sum,asq27_ps_sum from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),continuous,Asq,10,"{'min': np.float64(10.0), 'max': np.float64(60.0), 'mean': np.float64(45.0)}"
1051,asq27_ps_sum,asq27_ps_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(25.0), 'max': np.float64(60.0), 'mean': np.float64(48.0)}"
1052,asq,asq30_all_concern from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,,categorical,Asq,1,{'No': 1}
1053,asq30_all_concern,asq30_all_concern from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'No': 2, 'Yes': 3}"
1054,asq30_all_concern,asq30_all_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'No': 10, 'Yes': 8}"
1055,asq30_comm1,asq30_comm1 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1056,asq30_comm1,asq30_comm1 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 2, 'Yes': 3}"
1057,asq30_comm1,asq30_comm1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 3, 'Sometimes': 2, 'Yes': 13}"
1058,asq30_comm2,asq30_comm2 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1059,asq30_comm2,asq30_comm2 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,4,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 2}"
1060,asq30_comm2,asq30_comm2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Sometimes': 4, 'Yes': 14}"
1061,asq30_comm2spec,asq30_comm2spec from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,No values
1062,asq30_comm2spec,asq30_comm2spec from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,2,No values
1063,asq30_comm2spec,asq30_comm2spec from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,16,No values
1064,asq30_comm3,asq30_comm3 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1065,asq30_comm3,asq30_comm3 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 3}"
1066,asq30_comm3,asq30_comm3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Sometimes': 1, 'Yes': 17}"
1067,asq30_comm4,asq30_comm4 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Sometimes': 1}
1068,asq30_comm4,asq30_comm4 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 2, 'Yes': 3}"
1069,asq30_comm4,asq30_comm4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 5, 'Sometimes': 2, 'Yes': 11}"
1070,asq30_comm5,asq30_comm5 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1071,asq30_comm5,asq30_comm5 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 2}"
1072,asq30_comm5,asq30_comm5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,17,"{'Not yet': 3, 'Sometimes': 2, 'Yes': 12}"
1073,asq30_comm6,asq30_comm6 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1074,asq30_fm_concern,asq30_fm_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(0.0), 'max': np.float64(1.0), 'mean': np.float64(0.17)}"
1075,asq30_comm6,asq30_comm6 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 3, 'Yes': 2}"
1076,asq30_comm6,asq30_comm6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,17,"{'Not yet': 2, 'Sometimes': 6, 'Yes': 9}"
1077,asq30_comm_concern,asq30_comm_concern from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'0.00000': 1, 'null': 0}"
1078,asq30_comm_concern,asq30_comm_concern from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'0.00000': 3, '1.00000': 2, 'null': 0}"
1079,asq30_comm_concern,asq30_comm_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(0.0), 'max': np.float64(1.0), 'mean': np.float64(0.17)}"
1080,asq30_comm_count,asq30_comm_count from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'6.00000': 1, 'null': 0}"
1081,asq30_comm_count,asq30_comm_count from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'5.00000': 1, '6.00000': 4, 'null': 0}"
1082,asq30_comm_count,asq30_comm_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(4.0), 'max': np.float64(6.0), 'mean': np.float64(5.89)}"
1083,asq30_comm_score,asq30_comm_score from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'55.00000': 1, 'null': 0}"
1084,asq30_comm_score,asq30_comm_score from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'0.00000': 1, '18.00000': 1, '45.00000': 1, '50.00000': 1, '60.00000': 1, 'null': 0}"
1085,asq30_comm_score,asq30_comm_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(20.0), 'max': np.float64(60.0), 'mean': np.float64(47.92)}"
1086,asq30_comm_sum,asq30_comm_sum from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'55.00000': 1, 'null': 0}"
1087,asq30_comm_sum,asq30_comm_sum from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'0.00000': 1, '15.00000': 1, '45.00000': 1, '50.00000': 1, '60.00000': 1, 'null': 0}"
1088,asq30_comm_sum,asq30_comm_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(20.0), 'max': np.float64(60.0), 'mean': np.float64(46.94)}"
1089,asq30_fm1,asq30_fm1 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1090,asq30_fm1,asq30_fm1 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 2, 'Sometimes': 1, 'Yes': 2}"
1091,asq30_fm1,asq30_fm1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 16}"
1092,asq30_fm2,asq30_fm2 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1093,asq30_fm_count,asq30_fm_count from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'6.00000': 1, 'null': 0}"
1094,asq30_fm2,asq30_fm2 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 2, 'Yes': 3}"
1095,asq30_fm_count,asq30_fm_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(6.0), 'max': np.float64(6.0), 'mean': np.float64(6.0)}"
1096,asq30_fm2,asq30_fm2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 2, 'Sometimes': 10, 'Yes': 6}"
1097,asq30_fm3,asq30_fm3 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1098,asq30_fm3,asq30_fm3 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 2, 'Sometimes': 2, 'Yes': 1}"
1099,asq30_fm3,asq30_fm3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 7, 'Sometimes': 4, 'Yes': 7}"
1100,asq30_fm4,asq30_fm4 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1101,asq30_fm4,asq30_fm4 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 2, 'Yes': 3}"
1102,asq30_fm4,asq30_fm4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 3, 'Sometimes': 9, 'Yes': 6}"
1103,asq30_fm5,asq30_fm5 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1104,asq30_fm5,asq30_fm5 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 2, 'Sometimes': 1, 'Yes': 2}"
1105,asq30_fm5,asq30_fm5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 7, 'Sometimes': 4, 'Yes': 7}"
1106,asq30_fm6,asq30_fm6 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1107,asq30_fm6,asq30_fm6 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 1, 'Yes': 4}"
1108,asq30_fm6,asq30_fm6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 4, 'Sometimes': 4, 'Yes': 10}"
1109,asq30_fm_concern,asq30_fm_concern from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'0.00000': 1, 'null': 0}"
1110,asq30_fm_concern,asq30_fm_concern from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'0.00000': 4, '1.00000': 1, 'null': 0}"
1111,asq30_fm_count,asq30_fm_count from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'6.00000': 5, 'null': 0}"
1112,asq30_fm_score,asq30_fm_score from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'0.00000': 1, '25.00000': 1, '40.00000': 1, '45.00000': 1, '60.00000': 1, 'null': 0}"
1113,asq30_fm_score,asq30_fm_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(5.0), 'max': np.float64(60.0), 'mean': np.float64(37.78)}"
1114,asq30_fm_sum,asq30_fm_sum from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'60.00000': 1, 'null': 0}"
1115,asq30_fm_sum,asq30_fm_sum from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'0.00000': 1, '25.00000': 1, '40.00000': 1, '45.00000': 1, '60.00000': 1, 'null': 0}"
1116,asq30_fm_sum,asq30_fm_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(5.0), 'max': np.float64(60.0), 'mean': np.float64(37.78)}"
1117,asq30_gm1,asq30_gm1 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1118,asq30_gm1,asq30_gm1 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 3}"
1119,asq30_gm1,asq30_gm1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 15}"
1120,asq30_gm2,asq30_gm2 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1121,asq30_gm2,asq30_gm2 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 1, 'Yes': 4}"
1122,asq30_gm2,asq30_gm2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,17,"{'Not yet': 1, 'Yes': 16}"
1123,asq30_gm3,asq30_gm3 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1124,asq30_gm3,asq30_gm3 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 1, 'Yes': 4}"
1125,asq30_gm3,asq30_gm3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 2, 'Sometimes': 1, 'Yes': 15}"
1126,asq30_gm4,asq30_gm4 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1127,asq30_gm4,asq30_gm4 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 3, 'Yes': 2}"
1128,asq30_gm4,asq30_gm4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 6, 'Yes': 12}"
1129,asq30_gm5,asq30_gm5 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1130,asq30_o10,asq30_o10 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'No': 1}
1131,asq30_gm5,asq30_gm5 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 3}"
1132,asq30_gm5,asq30_gm5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 2, 'Sometimes': 5, 'Yes': 11}"
1133,asq30_gm6,asq30_gm6 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1134,asq30_gm6,asq30_gm6 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 2}"
1135,asq30_gm6,asq30_gm6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,18,"{'Not yet': 8, 'Sometimes': 4, 'Yes': 6}"
1136,asq30_gm_concern,asq30_gm_concern from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'0.00000': 1, 'null': 0}"
1137,asq30_gm_concern,asq30_gm_concern from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'0.00000': 3, '1.00000': 2, 'null': 0}"
1138,asq30_gm_concern,asq30_gm_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(0.0), 'max': np.float64(1.0), 'mean': np.float64(0.22)}"
1139,asq30_gm_count,asq30_gm_count from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'6.00000': 1, 'null': 0}"
1140,asq30_gm_count,asq30_gm_count from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'6.00000': 5, 'null': 0}"
1141,asq30_gm_count,asq30_gm_count from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(5.0), 'max': np.float64(6.0), 'mean': np.float64(5.94)}"
1142,asq30_gm_score,asq30_gm_score from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'60.00000': 1, 'null': 0}"
1143,asq30_gm_score,asq30_gm_score from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'0.00000': 1, '35.00000': 1, '45.00000': 1, '60.00000': 2, 'null': 0}"
1144,asq30_gm_score,asq30_gm_score from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(0.0), 'max': np.float64(60.0), 'mean': np.float64(45.44)}"
1145,asq30_gm_sum,asq30_gm_sum from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,"{'60.00000': 1, 'null': 0}"
1146,asq30_gm_sum,asq30_gm_sum from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'0.00000': 1, '35.00000': 1, '45.00000': 1, '60.00000': 2, 'null': 0}"
1147,asq30_gm_sum,asq30_gm_sum from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,18,"{'min': np.float64(0.0), 'max': np.float64(60.0), 'mean': np.float64(45.0)}"
1148,asq30_o1,asq30_o1 from form asq and visit 24_month_arm_5 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (24_month_arm_5),categorical,Asq,1,{'Yes': 1}
1149,asq30_o1,asq30_o1 from form asq and visit Follow-up month 12 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 12),categorical,Asq,5,"{'No': 1, 'Yes': 4}"
