,Variable Name,Variable Description,Subcohort,Dataset,Dataset Description,Data Type,Mapped Instrument,Number Participants,Field Attributes
694,asq9_comm_sum,asq9_comm_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'40.00000': 3, '35.00000': 2, '50.00000': 2, '60.00000': 2, '0.00000': 1, '15.00000': 1}"
695,asq9_fm1,asq9_fm1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Sometimes': 1, 'Yes': 13}"
696,asq9_fm2,asq9_fm2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Sometimes': 1, 'Yes': 13}"
697,asq9_fm3,asq9_fm3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 11}"
698,asq9_fm4,asq9_fm4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 4, 'Sometimes': 2, 'Yes': 8}"
699,asq9_fm5,asq9_fm5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 2, 'Sometimes': 3, 'Yes': 9}"
700,asq9_fm6,asq9_fm6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 1, 'Sometimes': 5, 'Yes': 8}"
701,asq9_fm_concern,asq9_fm_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'No': 13, 'Yes': 1}"
702,asq9_fm_count,asq9_fm_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'6.00000': 14, 'null': 0}"
703,asq9_fm_score,asq9_fm_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'60.00000': 6, '45.00000': 3, '50.00000': 2, '20.00000': 1, '35.00000': 1, '40.00000': 1}"
704,asq9_fm_sum,asq9_fm_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'60.00000': 6, '45.00000': 3, '50.00000': 2, '20.00000': 1, '35.00000': 1, '40.00000': 1}"
705,asq9_gm1,asq9_gm1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 11}"
706,asq9_gm2,asq9_gm2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,13,{'Yes': 13}
707,asq9_gm3,asq9_gm3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 1, 'Sometimes': 4, 'Yes': 9}"
708,asq9_gm4,asq9_gm4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 7, 'Sometimes': 1, 'Yes': 6}"
709,asq9_gm5,asq9_gm5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 4, 'Sometimes': 3, 'Yes': 7}"
710,asq9_gm6,asq9_gm6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 8, 'Yes': 6}"
711,asq9_gm_concern,asq9_gm_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'No': 13, 'Yes': 1}"
712,asq9_gm_count,asq9_gm_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'5.00000': 1, '6.00000': 13, 'null': 0}"
713,asq9_gm_score,asq9_gm_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'60.00000': 5, '25.00000': 3, '35.00000': 2, '15.00000': 1, '24.00000': 1, '40.00000': 1}"
714,asq9_gm_sum,asq9_gm_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'60.00000': 5, '25.00000': 3, '35.00000': 2, '15.00000': 1, '20.00000': 1, '40.00000': 1}"
715,asq9_o1,asq9_o1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,{'Yes': 14}
716,asq9_o2,asq9_o2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'No': 2, 'Yes': 12}"
717,asq9_o3,asq9_o3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'No': 12, 'Yes': 2}"
718,asq9_o4,asq9_o4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'No': 13, 'Yes': 1}"
719,asq9_o5,asq9_o5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,{'No': 14}
720,asq9_o6,asq9_o6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'No': 11, 'Yes': 3}"
721,asq9_o7,asq9_o7 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,{'No': 14}
722,asq9_o8,asq9_o8 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'No': 11, 'Yes': 3}"
723,asq9_persoc1,asq9_persoc1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 1, 'Sometimes': 2, 'Yes': 11}"
724,asq9_persoc2,asq9_persoc2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 2, 'Sometimes': 6, 'Yes': 6}"
725,asq9_persoc3,asq9_persoc3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 1, 'Yes': 13}"
726,asq9_persoc4,asq9_persoc4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 5, 'Sometimes': 3, 'Yes': 6}"
727,asq9_persoc5,asq9_persoc5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 4, 'Sometimes': 4, 'Yes': 6}"
728,asq9_persoc6,asq9_persoc6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 4, 'Sometimes': 7, 'Yes': 3}"
729,asq9_persoc_concern,asq9_persoc_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'No': 13, 'Yes': 1}"
730,asq9_persoc_count,asq9_persoc_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'6.00000': 14, 'null': 0}"
731,asq9_persoc_score,asq9_persoc_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'35.00000': 4, '45.00000': 3, '60.00000': 3, '15.00000': 1, '20.00000': 1, '30.00000': 1}"
732,asq9_persoc_sum,asq9_persoc_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'35.00000': 4, '45.00000': 3, '60.00000': 3, '15.00000': 1, '20.00000': 1, '30.00000': 1}"
733,asq9_ps1,asq9_ps1 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 1, 'Sometimes': 1, 'Yes': 12}"
734,asq9_ps2,asq9_ps2 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Sometimes': 1, 'Yes': 13}"
735,asq9_ps3,asq9_ps3 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 1, 'Sometimes': 3, 'Yes': 10}"
736,asq9_ps4,asq9_ps4 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 1, 'Sometimes': 3, 'Yes': 10}"
737,asq9_ps5,asq9_ps5 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 5, 'Sometimes': 4, 'Yes': 5}"
738,asq9_ps6,asq9_ps6 from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'Not yet': 3, 'Sometimes': 4, 'Yes': 7}"
739,asq9_ps_concern,asq9_ps_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'No': 12, 'Yes': 2}"
740,asq9_ps_count,asq9_ps_count from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'6.00000': 14, 'null': 0}"
741,asq9_ps_score,asq9_ps_score from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'60.00000': 4, '45.00000': 3, '20.00000': 2, '40.00000': 2, '50.00000': 2, '55.00000': 1}"
742,asq9_ps_sum,asq9_ps_sum from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,14,"{'60.00000': 4, '45.00000': 3, '20.00000': 2, '40.00000': 2, '50.00000': 2, '55.00000': 1}"
743,asq_concern,asq_concern from form asq and visit 12month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (12month),categorical,ASQ,2,{'No': 2}
744,asq_concern,asq_concern from form asq and visit 24month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (24month),categorical,ASQ,278,"{'No': 215, 'Yes': 63}"
745,asq_concern,asq_concern from form asq and visit 36month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (36month),categorical,ASQ,145,"{'No': 104, 'Yes': 41}"
746,asq_concern,asq_concern from form asq and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asq,asq (enrollment),categorical,ASQ,1082,"{'No': 786, 'Yes': 296}"
747,asqse_1,asqse_1 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 542, 'Rarely or never': 2, 'Sometimes': 30}"
748,asqse_1,asqse_1 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,229,"{'Often or always': 217, 'Sometimes': 12}"
749,asqse,asqse_10 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,,categorical,Asqse,572,"{'Often or always': 562, 'Sometimes': 10}"
750,asqse_10,asqse_10 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 220, 'Rarely or never': 1, 'Sometimes': 7}"
751,asqse_11,asqse_11 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,4,"{'Rarely or never': 3, 'Sometimes': 1}"
752,asqse_11,asqse_11 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,31,"{'Often or always': 3, 'Rarely or never': 26, 'Sometimes': 2}"
753,asqse_11v2,asqse_11v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,570,"{'Often or always': 14, 'Rarely or never': 512, 'Sometimes': 44}"
754,asqse_11v2,asqse_11v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,197,"{'Often or always': 4, 'Rarely or never': 164, 'Sometimes': 29}"
755,asqse_12,asqse_12 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,4,{'Rarely or never': 4}
756,asqse_12,asqse_12 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,31,"{'Often or always': 1, 'Rarely or never': 25, 'Sometimes': 5}"
757,asqse_12v2,asqse_12v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,570,"{'Often or always': 14, 'Rarely or never': 520, 'Sometimes': 36}"
758,asqse_12v2,asqse_12v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,197,"{'Often or always': 3, 'Rarely or never': 175, 'Sometimes': 19}"
759,asqse_13,asqse_13 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 18, 'Rarely or never': 410, 'Sometimes': 146}"
760,asqse_13,asqse_13 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,229,"{'Often or always': 9, 'Rarely or never': 162, 'Sometimes': 58}"
761,asqse_14,asqse_14 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,571,"{'Often or always': 500, 'Rarely or never': 5, 'Sometimes': 66}"
762,asqse_14,asqse_14 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,227,"{'Often or always': 200, 'Rarely or never': 4, 'Sometimes': 23}"
763,asqse_15,asqse_15 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,572,"{'Often or always': 535, 'Rarely or never': 7, 'Sometimes': 30}"
764,asqse_15,asqse_15 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 201, 'Rarely or never': 4, 'Sometimes': 23}"
765,asqse_16,asqse_16 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,571,"{'Often or always': 498, 'Rarely or never': 6, 'Sometimes': 67}"
766,asqse_16,asqse_16 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,227,"{'Often or always': 192, 'Rarely or never': 1, 'Sometimes': 34}"
767,asqse_17,asqse_17 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 19, 'Rarely or never': 364, 'Sometimes': 191}"
768,asqse_17,asqse_17 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 9, 'Rarely or never': 130, 'Sometimes': 89}"
769,asqse_18,asqse_18 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,573,"{'Often or always': 391, 'Rarely or never': 46, 'Sometimes': 136}"
770,asqse_18,asqse_18 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 148, 'Rarely or never': 26, 'Sometimes': 54}"
771,asqse_19,asqse_19 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,573,"{'Often or always': 424, 'Rarely or never': 15, 'Sometimes': 134}"
772,asqse_19,asqse_19 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 154, 'Rarely or never': 8, 'Sometimes': 66}"
773,asqse_2,asqse_2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 18, 'Rarely or never': 511, 'Sometimes': 45}"
774,asqse_2,asqse_2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 4, 'Rarely or never': 198, 'Sometimes': 26}"
775,asqse_20,asqse_20 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 542, 'Rarely or never': 3, 'Sometimes': 29}"
776,asqse_20,asqse_20 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,229,"{'Often or always': 210, 'Rarely or never': 2, 'Sometimes': 17}"
777,asqse_21,asqse_21 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 446, 'Rarely or never': 7, 'Sometimes': 121}"
778,asqse_21,asqse_21 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,229,"{'Often or always': 173, 'Rarely or never': 7, 'Sometimes': 49}"
779,asqse_22,asqse_22 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,572,"{'Often or always': 534, 'Rarely or never': 3, 'Sometimes': 35}"
780,asqse_22,asqse_22 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,229,"{'Often or always': 209, 'Rarely or never': 1, 'Sometimes': 19}"
781,asqse_23,asqse_23 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,573,"{'Often or always': 2, 'Rarely or never': 536, 'Sometimes': 35}"
782,asqse_23,asqse_23 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 1, 'Rarely or never': 212, 'Sometimes': 15}"
783,asqse_24,asqse_24 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 471, 'Rarely or never': 7, 'Sometimes': 96}"
784,asqse_24,asqse_24 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 186, 'Rarely or never': 2, 'Sometimes': 40}"
785,ca_wt1oz,ca_wt1oz from form anthropometry and visit 36month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,anthropometry,anthropometry (36month),categorical,Anthropometry,5,"{'0.00000': 2, '2.00000': 1, '6.00000': 1, '6.40000': 1, 'null': 0}"
786,asqse_25,asqse_25 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,573,"{'Often or always': 9, 'Rarely or never': 485, 'Sometimes': 79}"
787,asqse_25,asqse_25 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,227,"{'Often or always': 4, 'Rarely or never': 199, 'Sometimes': 24}"
788,asqse_26,asqse_26 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,4,{'Rarely or never': 4}
789,asqse_26,asqse_26 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,31,"{'Rarely or never': 30, 'Sometimes': 1}"
790,asqse_26v2,asqse_26v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,569,"{'Often or always': 468, 'Rarely or never': 23, 'Sometimes': 78}"
791,asqse_26v2,asqse_26v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,197,"{'Often or always': 147, 'Rarely or never': 11, 'Sometimes': 39}"
792,asqse_27v2,asqse_27v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,567,"{'Often or always': 514, 'Rarely or never': 10, 'Sometimes': 43}"
793,asqse_27v2,asqse_27v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,198,"{'Often or always': 182, 'Sometimes': 16}"
794,asqse_28v2,asqse_28v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,568,"{'Often or always': 408, 'Rarely or never': 51, 'Sometimes': 109}"
795,asqse_28v2,asqse_28v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,197,"{'Often or always': 134, 'Rarely or never': 24, 'Sometimes': 39}"
796,asqse_29v2,asqse_29v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,570,"{'Often or always': 33, 'Rarely or never': 419, 'Sometimes': 118}"
797,asqse_29v2,asqse_29v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,196,"{'Often or always': 11, 'Rarely or never': 138, 'Sometimes': 47}"
798,asqse_3,asqse_3 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 572, 'Rarely or never': 1, 'Sometimes': 1}"
799,asqse_3,asqse_3 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,229,"{'Often or always': 225, 'Sometimes': 4}"
800,asqse_30v2,asqse_30v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,570,"{'Often or always': 509, 'Rarely or never': 4, 'Sometimes': 57}"
801,asqse_30v2,asqse_30v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,198,"{'Often or always': 169, 'Rarely or never': 3, 'Sometimes': 26}"
802,asqse_31v2,asqse_31v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,570,"{'Often or always': 5, 'Rarely or never': 545, 'Sometimes': 20}"
803,asqse_31v2,asqse_31v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,198,"{'Often or always': 2, 'Rarely or never': 188, 'Sometimes': 8}"
804,asqse_32v2,asqse_32v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,569,"{'No': 515, 'Yes': 54}"
805,asqse_32v2,asqse_32v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,198,"{'No': 178, 'Yes': 20}"
806,asqse_33v2,asqse_33v2 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,570,"{'No': 495, 'Yes': 75}"
807,asqse_33v2,asqse_33v2 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,198,"{'No': 164, 'Yes': 34}"
808,asqse_4,asqse_4 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,572,"{'Often or always': 434, 'Rarely or never': 17, 'Sometimes': 121}"
809,asqse_4,asqse_4 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 183, 'Rarely or never': 8, 'Sometimes': 37}"
810,asqse_5,asqse_5 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 540, 'Rarely or never': 1, 'Sometimes': 33}"
811,asqse_5,asqse_5 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,229,"{'Often or always': 199, 'Sometimes': 30}"
812,asqse_6,asqse_6 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 480, 'Rarely or never': 1, 'Sometimes': 93}"
813,asqse_6,asqse_6 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,228,"{'Often or always': 174, 'Rarely or never': 1, 'Sometimes': 53}"
814,asqse_7,asqse_7 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 525, 'Rarely or never': 3, 'Sometimes': 46}"
815,asqse_7,asqse_7 from form asqse and visit enrollment from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (enrollment),categorical,Asqse,229,"{'Often or always': 204, 'Rarely or never': 3, 'Sometimes': 22}"
816,asqse_8,asqse_8 from form asqse and visit 18month from pediatric congenital cohort answerdata.tsv.,Pediatric Congenital,asqse,asqse (18month),categorical,Asqse,574,"{'Often or always': 25, 'Rarely or never': 414, 'Sometimes': 135}"
