variable_id,variable_label_from_data_file,label,derived_var_label,desc,form,form_id
ih_yn_4,,"Was the patient located in the study hospital at any time on study day 4 (i.e., admitted, inpatient)?",,,Day 4 Assessment,day_4_assessment
ih_yn_5,,"Was the patient located in the study hospital at any time on study day 5 (i.e., admitted, inpatient)?",,,Day 5 Assessment,day_5_assessment
iho_aboth,,Did the patient receive any antibiotics (other than azithromycin) between randomization and day 8?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_abothdt,,Day of first dose of first other antibiotic after randomization,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_abothtm,,Time of first dose of first other antibiotic after randomization,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_adenovir,,Other acute viral infection: Adenovirus,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_adenovirsrc,,Adenovirus specimen source,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_avoth,,Did the patient receive any other antiviral between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_avothdt,,Day of first dose of other antiviral,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_avothspec,,Name of first other antiviral,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_avothtm,,Time of first dose of other antiviral,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_azithro,,Did the patient receive Azithromycin between randomization and day 8?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_azithrodt,,Day of first dose of Azithromycin,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_azithrotm,,Time of first dose of Azithromycin,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultdt,,Day first positive blood culture collected:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___1,,Organisms identified in first positive blood culture (choice=Acinetobacter baumanii),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___10,,Organisms identified in first positive blood culture (choice=Lactobacillus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___11,,Organisms identified in first positive blood culture (choice=Micrococcus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___12,,Organisms identified in first positive blood culture (choice=Proteus mirabilis),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___13,,Organisms identified in first positive blood culture (choice=Pseudomonas aeruginosa),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___14,,Organisms identified in first positive blood culture (choice=Serratia marcenscens),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___15,,Organisms identified in first positive blood culture (choice=Staphylococcus aureus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___16,,Organisms identified in first positive blood culture (choice=Stenotrophomonas maltophilia),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___17,,Organisms identified in first positive blood culture (choice=Streptococcus pneumoniae),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___18,,Organisms identified in first positive blood culture (choice=Viridans group streptococci),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___19,,Organisms identified in first positive blood culture (choice=Other),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___2,,Organisms identified in first positive blood culture (choice=Bacillus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___3,,Organisms identified in first positive blood culture (choice=beta-hemolytic streptococci),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___4,,Organisms identified in first positive blood culture (choice=Coagulase-negative staphylococci),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___5,,Organisms identified in first positive blood culture (choice=Corynebacterium),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___6,,Organisms identified in first positive blood culture (choice=Enterobacter cloacae),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___7,,Organisms identified in first positive blood culture (choice=Enterococcus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___8,,Organisms identified in first positive blood culture (choice=Escheria coli),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorg___9,,Organisms identified in first positive blood culture (choice=Klebsiella pneumoniae),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultorgspec,,Other organisms identified in first positive blood culture,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bculttm,,Time first positive blood culture collected:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_bcultyn,,Were any blood cultures drawn between hospital presentation and study day 7 positive?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_chlor,,Did the patient receive chloroquine between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_chlordt,,Day of first chloroquine dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_chlortm,,Time of first chloroquine dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_conpasdt,,Day patient first received convalescent plasma:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_conpastm,,Time patient first received convalescent plasma:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_conplas,,Did the patient receive convalescent plasma between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_coosptdisch,,Patient discharged home according to COVID OO Scale:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_coronaviroth,,"Other acute viral infection: Coronavirus OC43, NL63, 229E, and HKU1",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_coronavirothsrc,,"Coronavirus OC43, NL63, 229E, and HKU1 specimen source",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_corticoster,,Did the patient receive corticosteroids between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_corticosterdt,,Day of first corticosteroid dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_corticostertm,,Time of first corticosteroid dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtodt_1,,Day collected (1),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtodt_2,,Day collected (2),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtodt_3,,Day collected (3),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtodt_4,,Day collected (4),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtotm_1,,Time collected (1),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtotm_2,,Time collected (2),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtotm_3,,Time collected (3),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtotm_4,,Time collected (4),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtrdt_1,,Day resulted (1),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtrdt_2,,Day resulted (2),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtrdt_3,,Day resulted (3),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtrdt_4,,Day resulted (4),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtres_1,,First SARS-CoV-2 result,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtres_2,,Second SARS-CoV-2 result,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtres_3,,Third SARS-CoV-2 result,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtres_4,,Fourth SARS-CoV-2 result,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtresspec_1,,Other SARS-CoV-2 result (1),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtresspec_2,,Other SARS-CoV-2 result (2),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtresspec_3,,Other SARS-CoV-2 result (3),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtresspec_4,,Other SARS-CoV-2 result (4),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtrtm_1,,Time resulted (1),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtrtm_2,,Time resulted (2),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtrtm_3,,Time resulted (3),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtrtm_4,,Time resulted (4),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtsrc_1,,Source of specimen (1),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtsrc_2,,Source of specimen (2),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtsrc_3,,Source of specimen (3),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtsrc_4,,Source of specimen (4),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtsrcspec_1,,Other specimen source (1),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtsrcspec_2,,Other specimen source (2),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtsrcspec_3,,Other specimen source (3),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtsrcspec_4,,Other specimen source (4),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidttype_1,,Type of first SARS-CoV-2 test,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidttype_2,,Type of second SARS-CoV-2 test,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidttype_3,,Type of third SARS-CoV-2 test,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidttype_4,,Type of fourth SARS-CoV-2 test,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidttypespec_1,,Other test type (1),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidttypespec_2,,Other test type (2),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidttypespec_3,,Other test type (3),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidttypespec_4,,Other test type (4),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtyn_2,,Was an additional SARS-CoV2 test performed?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtyn_3,,Was an additional SARS-CoV2 test performed?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_covidtyn_4,,Was an additional SARS-CoV2 test performed?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_dischdest,,Patient destination at discharge:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_dischdt,,Hospital Discharge Day,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_dischtm,,Hospital Discharge Time,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_dischyn,,Was the patient discharged alive from the hospital on or before study day 29?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_dvt,,"Was the patient diagnosed with a deep venous thrombosis (DVT) between randomization and the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_dvtdt,,Day of first study demonstrating DVT:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_dvttm,,Time of first study demonstrating DVT:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_ecmo,,"Did the patient receive extracorporeal membrane oxygenation (ECMO) between randomization and the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_ecmodiscon,,"Was the patient still receiving ECMO at the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_ecmodiscondt,,Day of final discontinuation of ECMO,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_ecmodiscontm,,Time of final discontinuation of ECMO,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_ecmodt,,Day ECMO first received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_ecmotm,,Time ECMO first received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_enterovir,,Other acute viral infection: Enterovirus,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_enterovirsrc,,Enterovirus specimen source,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_flua,,Other acute viral infection: Influenza A,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_fluasrc,,Influenza A specimen source,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_flub,,Other acute viral infection: Influenza B,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_flubsrc,,Influenza B specimen source,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_hfnc,,"Did the patient receive high flow nasal cannula between randomization and the first of discharge, death, or study day 29?High flow nasal cannula refers to devices that deliver oxygen at 30 to 60 liters per minute with a titratable FiO2. Brand names include",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_hfncdiscon,,"Was the patient still receiving high flow nasal cannula at the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_hfncdiscondt,,Day of final discontinuation of high flow nasal cannula,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_hfncdiscontm,,Time of final discontinuation of high flow nasal cannula,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_hfncdt,,Day high flow nasal cannula first received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_hfnctm,,Time high flow nasal cannula first received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_hydroxychlor,,Did the patient receive open label hydroxychloroquine between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_hydroxychlordt,,Day of first hydroxychloroquine dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_hydroxychlortm,,Time of first hydroxychloroquine dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_icu,,"Was the patient ever located in an ICU between randomization and the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_icudisch,,"Was patient located in an ICU at the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_icudischdt,,Day of final ICU discharge,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_icudischtm,,Time of final ICU discharge,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_icudt,,Day of ICU admission,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_icutm,,Time of ICU admission,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_immglob,,Did the patient receive SARS-CoV-2 hyperimmune globulin between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_immglobdt,,Day patient first received SARS-CoV-2 hyperimmune globulin:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_immglobtm,,Time patient first received SARS-CoV-2 hyperimmune globulin:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_immoth,,Did the patient receive any other immunomodulating medication between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_immothdt,,Day of first other immunomodulating medications,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_immothspec,,Name of other immunomodulating medications,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_immothtm,,Time of first other immunomodulating medications,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_imv,,"Did the patient receive invasive mechanical ventilation between randomization and the first of discharge, death, or study day 29?Invasive mechanical ventilation refers to ventilation via endotracheal tube or tracheostomy",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_imvdiscon,,"Was the patient still receiving invasive mechanical ventilation at the first of discharge, death or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_imvdiscondt,,Day of final discontinuation of invasive mechanical ventilation,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_imvdiscontm,,Time of final discontinuation of invasive mechanical ventilation,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_imvdt,,Day invasive mechanical ventilation received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_imvtm,,Time invasive mechanical ventilation received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_interferon,,Did the patient receive Interferon  between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_interferondt,,Day of first Interferon ß dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_interferontm,,Time of first Interferon dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_lopinavir,,Did the patient receive lopinavir/ritonavir between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_lopinavirdt,,Day of first lopinavir/ritonavir dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_lopinavirtm,,Time of first lopinavir/ritonavir dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_metapneumovir,,Other acute viral infection: Human metapneumovirus,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_metapneumovirsrc,,Human metapneumovirus specimen source,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_monocanti,,Did the patient receive monoclonal antibodies between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_monocantidt,,Day patient first received monoclonal antibodies:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_monocantitm,,Time patient first received monoclonal antibodies:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_niv,,"Did the patient receive non-invasive ventilation (bipap) between randomization and the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_nivdiscon,,"Was the patient still receiving non-invasive ventilation at the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_nivdiscondt,,Day of final discontinuation,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_nivdiscontm,,Time of final discontinuation,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_nivdt,,Day non-invasive ventilation first received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_nivtm,,Time non-invasive ventilation first received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_oxy,,"Did the patient receive oxygen between randomization and the first of discharge, death, or study day 29?  Supplemental oxygen is defined as oxygen administered by nasal cannula, face mask, high-flow nasal cannula, non-invasive ventilation, or invasive vent",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_oxydiscon,,"Was the patient still receiving oxygen at the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_oxydiscondt,,Day of final discontinuation of oxygen,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_oxydiscontm,,Time of final discontinuation of oxygen,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_oxydt,,Day oxygen first received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_oxytm,,Time oxygen first received,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_paraflu,,Other acute viral infection: Parainfluenza,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_paraflusrc,,Parainfluenza specimen source,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_pe,,"Was the patient diagnosed with a pulmonary embolism (PE) between randomization and the first of discharge, death, or study day 29?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_pedt,,Day of first study demonstrating PE:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_petm,,Time of first study demonstrating PE:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultdt,,Day first positive culture collected:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___1,,Organisms identified in first positive respiratory culture: (choice=Acinetobacter baumanii),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___10,,Organisms identified in first positive respiratory culture: (choice=Lactobacillus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___11,,Organisms identified in first positive respiratory culture: (choice=Micrococcus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___12,,Organisms identified in first positive respiratory culture: (choice=Proteus mirabilis),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___13,,Organisms identified in first positive respiratory culture: (choice=Pseudomonas aeruginosa),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___14,,Organisms identified in first positive respiratory culture: (choice=Serratia marcenscens),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___15,,Organisms identified in first positive respiratory culture: (choice=Staphylococcus aureus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___16,,Organisms identified in first positive respiratory culture: (choice=Stenotrophomonas maltophilia),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___17,,Organisms identified in first positive respiratory culture: (choice=Streptococcus pneumoniae),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___18,,Organisms identified in first positive respiratory culture: (choice=Viridans group streptococci),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___19,,Organisms identified in first positive respiratory culture: (choice=Other),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___2,,Organisms identified in first positive respiratory culture: (choice=Bacillus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___3,,Organisms identified in first positive respiratory culture: (choice=beta-hemolytic streptococci),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___4,,Organisms identified in first positive respiratory culture: (choice=Coagulase-negative staphylococci),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___5,,Organisms identified in first positive respiratory culture: (choice=Corynebacterium),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___6,,Organisms identified in first positive respiratory culture: (choice=Enterobacter cloacae),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___7,,Organisms identified in first positive respiratory culture: (choice=Enterococcus),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___8,,Organisms identified in first positive respiratory culture: (choice=Escheria coli),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultorg___9,,Organisms identified in first positive respiratory culture: (choice=Klebsiella pneumoniae),,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultsrc,,Source of Culture,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rculttm,,Time first positive culture collected:,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rcultyn,,"Were any bacterial respiratory cultures (sputum, tracheal aspirate, or bronchoalveolar lavage) obtained between hospital presentation and study day 7 positive?",,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_remdesivir,,Did the patient receive remdesivir between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_remdesivirdt,,Day of first remdesivir dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_remdesivirtm,,Time of first remdesivir dose,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rhinovir,,Other acute viral infection: Rhinovirus,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rhinovirsrc,,Rhinovirus specimen source,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rsv,,Other acute viral infection: Respiratory Syncytial Virus,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_rsvsrc,,Respiratory Syncytial Virus specimen source,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
iho_sarilumab,,Did the patient receive sarilumab between randomization and hospital discharge?,,,Inhospital Medications Microbiology Outcomes,inhospital_medications_microbiology_outcomes
